Bear,Datetime_behavior_starts,Datetime_behavior_ends,Behavior,Comments
1,4/8/2014 2:02:03,4/8/2014 2:02:33,laying,resting
1,4/8/2014 2:04:03,4/8/2014 2:04:33,laying,resting
1,4/8/2014 2:06:03,4/8/2014 2:06:33,laying,resting
1,4/8/2014 2:08:03,4/8/2014 2:08:33,laying,resting
1,4/8/2014 2:10:03,4/8/2014 2:10:33,laying,resting
1,4/8/2014 2:12:03,4/8/2014 2:12:33,laying,resting
1,4/8/2014 2:14:03,4/8/2014 2:14:33,laying,resting
1,4/8/2014 2:16:03,4/8/2014 2:16:33,laying,resting
1,4/8/2014 2:18:03,4/8/2014 2:18:33,laying,resting
1,4/8/2014 2:20:03,4/8/2014 2:20:33,laying,resting
1,4/8/2014 2:22:03,4/8/2014 2:22:33,laying,resting
1,4/8/2014 2:24:03,4/8/2014 2:24:33,laying,resting
1,4/8/2014 2:26:03,4/8/2014 2:26:33,laying,resting
1,4/8/2014 2:28:03,4/8/2014 2:28:33,laying,resting
1,4/8/2014 2:30:03,4/8/2014 2:30:33,laying,resting
1,4/8/2014 2:32:03,4/8/2014 2:32:33,laying,resting
1,4/8/2014 2:34:03,4/8/2014 2:34:33,laying,resting
1,4/8/2014 2:36:03,4/8/2014 2:36:33,laying,resting
1,4/8/2014 2:38:03,4/8/2014 2:38:33,laying,resting
1,4/8/2014 2:40:03,4/8/2014 2:40:33,laying,resting
1,4/8/2014 2:42:03,4/8/2014 2:42:33,laying,resting
1,4/8/2014 2:44:03,4/8/2014 2:44:33,laying,resting
1,4/8/2014 2:46:03,4/8/2014 2:46:33,laying,resting
1,4/8/2014 2:48:03,4/8/2014 2:48:33,laying,resting
1,4/8/2014 2:50:03,4/8/2014 2:50:33,laying,resting
1,4/8/2014 2:52:03,4/8/2014 2:52:33,laying,resting
1,4/8/2014 2:54:03,4/8/2014 2:54:33,laying,resting
1,4/8/2014 2:56:03,4/8/2014 2:56:33,laying,resting
1,4/8/2014 2:58:03,4/8/2014 2:58:33,laying,resting
1,4/8/2014 3:00:03,4/8/2014 3:00:33,laying,resting
1,4/8/2014 3:02:03,4/8/2014 3:02:33,laying,resting
1,4/8/2014 3:04:03,4/8/2014 3:04:33,laying,resting
1,4/8/2014 3:06:03,4/8/2014 3:06:33,laying,resting
1,4/8/2014 3:08:03,4/8/2014 3:08:33,laying,resting
1,4/8/2014 3:10:03,4/8/2014 3:10:33,laying,resting
1,4/8/2014 3:12:03,4/8/2014 3:12:33,laying,
1,4/8/2014 3:14:03,4/8/2014 3:14:33,laying,
1,4/8/2014 3:16:03,4/8/2014 3:16:33,rolling in snow,
1,4/8/2014 3:18:03,4/8/2014 3:18:33,rolling in snow,
1,4/8/2014 3:20:03,4/8/2014 3:20:33,standing,smelling snow
1,4/8/2014 3:22:03,4/8/2014 3:22:33,rolling in snow,
1,4/8/2014 3:24:03,4/8/2014 3:24:33,standing,smelling snow
1,4/8/2014 3:26:03,4/8/2014 3:26:33,standing,head shake
1,4/8/2014 3:28:03,4/8/2014 3:28:33,rolling in snow,
1,4/8/2014 3:30:03,4/8/2014 3:30:33,standing,licking snow
1,4/8/2014 3:32:03,4/8/2014 3:32:33,grooming,while laying
1,4/8/2014 3:34:03,4/8/2014 3:34:33,eating snow,
1,4/8/2014 3:36:03,4/8/2014 3:36:33,grooming,
1,4/8/2014 3:38:03,4/8/2014 3:38:33,rolling in snow,
1,4/8/2014 3:40:03,4/8/2014 3:40:33,rolling in snow,
1,4/8/2014 3:42:03,4/8/2014 3:42:33,rolling in snow,
1,4/8/2014 3:44:03,4/8/2014 3:44:33,rolling in snow,
1,4/8/2014 3:46:03,4/8/2014 3:46:33,rolling in snow,
1,4/8/2014 3:48:03,4/8/2014 3:48:33,rolling in snow,
1,4/8/2014 3:50:03,4/8/2014 3:50:33,rolling in snow,
1,4/8/2014 3:52:03,4/8/2014 3:52:33,rolling in snow,
1,4/8/2014 3:54:03,4/8/2014 3:54:33,laying,resting
1,4/8/2014 3:56:03,4/8/2014 3:56:33,laying,resting
1,4/8/2014 3:58:03,4/8/2014 3:58:33,laying,resting
1,4/8/2014 4:00:03,4/8/2014 4:00:33,laying,resting
1,4/8/2014 4:02:03,4/8/2014 4:02:33,laying,resting
1,4/8/2014 4:04:03,4/8/2014 4:04:33,laying,resting
1,4/8/2014 4:06:03,4/8/2014 4:06:33,laying,resting
1,4/8/2014 4:08:03,4/8/2014 4:08:33,laying,resting
1,4/8/2014 4:10:03,4/8/2014 4:10:33,laying,resting
1,4/8/2014 4:12:03,4/8/2014 4:12:33,laying,resting
1,4/8/2014 4:14:03,4/8/2014 4:14:33,laying,resting
1,4/8/2014 4:16:03,4/8/2014 4:16:33,laying,some head movement
